session_id,epoch,loss,train_acc,test_acc
20221209_195344,1,0.547,0.829,0.899

20221209_195344,2,0.329,0.894,0.912

20221209_195344,3,0.294,0.905,0.915

20221209_195344,4,0.292,0.904,0.923

20221209_195344,5,0.271,0.913,0.923

20221209_211433,1,1.942,0.318,0.383

20221209_211433,2,1.615,0.442,0.464

20221209_211433,3,1.465,0.495,0.466

20221209_211433,4,1.355,0.536,0.547

20221209_211433,5,1.261,0.566,0.502

20221209_213015,1,2.201,0.202,0.225

20221209_213015,2,2.084,0.265,0.308

20221209_213015,3,1.983,0.305,0.317

20221209_213015,4,1.862,0.348,0.376

20221209_213015,5,1.773,0.386,0.417

20221209_215731,1,0.638,0.788,0.841

20221209_215731,2,0.48,0.839,0.851

20221209_215731,3,0.455,0.845,0.862

20221209_215731,4,0.43,0.855,0.869

20221209_215731,5,0.409,0.858,0.873

20221209_230012,1,2.211,0.199,0.223

20221209_230012,2,2.156,0.234,0.232

20221209_230012,3,2.112,0.255,0.26

20221209_230012,4,2.066,0.272,0.282

20221209_230012,5,2.012,0.289,0.295

20221209_230012,6,1.959,0.31,0.279

20221209_230012,7,1.905,0.325,0.342

20221209_230012,8,1.86,0.348,0.352

20221209_230012,9,1.816,0.364,0.368

20221209_230012,10,1.784,0.375,0.394

20221209_230012,11,1.741,0.393,0.392

20221209_230012,12,1.718,0.404,0.395

20221209_230012,13,1.678,0.412,0.436

20221209_230012,14,1.654,0.423,0.426

20221209_230012,15,1.631,0.435,0.435

20221222_085837,1,2.12,0.282,0.329

20221222_085837,2,1.72,0.407,0.401

20221222_085837,3,1.535,0.468,0.436

20221222_085837,4,1.401,0.52,0.505

20221222_085837,5,1.311,0.552,0.53

20221222_085837,6,1.228,0.582,0.528

20221222_085837,7,1.13,0.614,0.632

20221222_085837,8,1.071,0.635,0.636

20221222_085837,9,1.011,0.655,0.646

20221222_085837,10,0.957,0.675,0.66

20221222_085837,11,0.899,0.697,0.653

20221222_085837,12,0.855,0.711,0.678

20221222_085837,13,0.808,0.727,0.724

20221222_085837,14,0.78,0.742,0.704

20221222_085837,15,0.747,0.752,0.75

20221222_085837,16,0.71,0.765,0.734

20221222_085837,17,0.679,0.772,0.76

20221222_085837,18,0.655,0.782,0.782

20221222_085837,19,0.64,0.786,0.772

20221222_085837,20,0.616,0.795,0.771

20221222_085837,21,0.594,0.801,0.792

20221222_085837,22,0.567,0.814,0.762

20221222_085837,23,0.567,0.811,0.771

20221222_085837,24,0.536,0.82,0.801

20221222_085837,25,0.536,0.821,0.803

20221222_085837,26,0.519,0.826,0.806

20221222_085837,27,0.501,0.833,0.806

20221222_085837,28,0.484,0.839,0.802

20221222_085837,29,0.471,0.842,0.818

20221222_085837,30,0.465,0.846,0.82

20221222_085837,31,0.445,0.852,0.828

20221222_085837,32,0.44,0.852,0.837

20221222_085837,33,0.43,0.857,0.828

20221222_085837,34,0.426,0.859,0.833

20221222_085837,35,0.404,0.865,0.831

20221222_085837,36,0.405,0.864,0.842

20221222_085837,37,0.387,0.872,0.846

20221222_085837,38,0.391,0.871,0.843

20221222_085837,39,0.381,0.876,0.837

20221222_085837,40,0.37,0.875,0.841

20221222_085837,41,0.362,0.879,0.848

20221222_085837,42,0.353,0.885,0.847

20221222_085837,43,0.352,0.885,0.842

20221222_085837,44,0.342,0.886,0.844

20221222_085837,45,0.337,0.886,0.858

20221222_085837,46,0.336,0.89,0.856

20221222_085837,47,0.316,0.895,0.856

20221222_085837,48,0.328,0.894,0.858

20221222_085837,49,0.317,0.896,0.857

20221222_085837,50,0.309,0.896,0.857

20221222_085837,51,0.304,0.898,0.855

20221222_085837,52,0.295,0.904,0.857

20221222_085837,53,0.289,0.906,0.862

20221222_085837,54,0.294,0.902,0.863

20221222_085837,55,0.293,0.903,0.863

20221222_085837,56,0.287,0.906,0.861

20221222_085837,57,0.283,0.908,0.861

20221222_085837,58,0.269,0.909,0.867

20221222_085837,59,0.272,0.911,0.866

20221222_085837,60,0.268,0.913,0.869

20221222_085837,61,0.269,0.911,0.869

20221222_085837,62,0.26,0.914,0.873

20221222_085837,63,0.265,0.914,0.878

20221222_085837,64,0.243,0.918,0.872

20221222_085837,65,0.267,0.912,0.866

20221222_085837,66,0.248,0.918,0.87

20221222_085837,67,0.252,0.918,0.86

20221222_085837,68,0.244,0.919,0.869

20221222_085837,69,0.245,0.919,0.869

20221222_085837,70,0.232,0.923,0.87

20221222_085837,71,0.237,0.922,0.867

20221222_085837,72,0.237,0.921,0.869

20221222_085837,73,0.243,0.919,0.868

20221222_085837,74,0.242,0.919,0.873

20221222_085837,75,0.238,0.923,0.877

20221222_085837,76,0.232,0.924,0.87

20221222_085837,77,0.222,0.928,0.867

20221222_085837,78,0.231,0.924,0.871

20221222_085837,79,0.226,0.925,0.876

20221222_085837,80,0.217,0.932,0.873

20221222_085837,81,0.231,0.924,0.879

20221222_085837,82,0.216,0.928,0.873

20221222_085837,83,0.226,0.926,0.869

20221222_085837,84,0.222,0.927,0.866

20221222_085837,85,0.223,0.927,0.874

20221222_085837,86,0.225,0.926,0.872

20221222_085837,87,0.218,0.928,0.875

20221222_085837,88,0.216,0.928,0.877

20221222_085837,89,0.219,0.928,0.882

20221222_085837,90,0.222,0.928,0.874

